category,total_grams
Tap water,4641596.41
Bottled water,3301569.38
Coffee,1552176.33
Tea,756123.25
Soft drinks,691929.29
Diet soft drinks,408731.35
Beer,404177.54
Fruit drinks,330494.58
Flavored or carbonated water,272344.89
"Milk, whole",250640.19
"Pasta mixed dishes, excludes macaroni and cheese",246503.61
"Milk, reduced fat",228801.13
"Soups, broth-based",223748.7
Apples,167487.67
Sport and energy drinks,163312.96
Pizza,159135.32
Eggs and omelets,152123.08
Rice,144226.37
"Chicken, whole pieces",143900.94
Other vegetables and combinations,139086.28
Meat mixed dishes,137938.23
Deli and cured meat sandwiches,137474.73
Citrus juice,127998.18
Bananas,127796.71
Ice cream and frozen dairy desserts,116737.21
Smoothies and grain drinks,116733.58
Oatmeal,111942.9
Poultry mixed dishes,111393.01
Wine,97419.53
French fries and other fried white potatoes,96304.14
Citrus fruits,96181.77
Burgers,94517.37
"Milk, lowfat",92810.7
Other diet drinks,92753.5
Apple juice,91029.5
Cakes and pies,90667.27
Egg/breakfast sandwiches,89208.24
Ramen and Asian broth-based soups,88458.84
Plant-based milk,86440.32
Diet sport and energy drinks,85949.8
Enhanced water,85324.45
Burritos and tacos,84594.65
Yeast breads,84339.68
Other fruit juice,84236.36
Mashed potatoes and white potato mixtures,78577.2
Cookies and brownies,75646.6
"Beans, peas, legumes",74349.91
Liquor and cocktails,72550.13
"Milk, nonfat",71033.46
Melons,67349.52
Macaroni and cheese,66221.05
"White potatoes, baked or boiled",65279.41
Fish,62541.09
Cheese,61286.64
Nutritional beverages,60869.88
Lettuce and lettuce salads,60771.38
"Formula, prepared from powder",60374.97
Rice mixed dishes,59287.77
"Yogurt, regular",58393.43
Nuts and seeds,57275.35
"Beef, excludes ground",56642.07
Tomatoes,56307.92
Other Mexican mixed dishes,55650.9
"Chicken patties, nuggets and tenders",53463.58
Tomato-based condiments,53200.74
"Doughnuts, sweet rolls, pastries",51216.48
"Yogurt, Greek",49893.24
Cream and cream substitutes,48536.12
Strawberries,47464.52
"Dips, gravies, other sauces",46655.8
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",46323.43
Grapes,46173.53
Stir-fry and soy-based sauce mixtures,45358.9
Blueberries and other berries,43592.42
"Pancakes, waffles, French toast",43479.48
Chicken fillet sandwiches,40696.15
"Biscuits, muffins, quick breads",39787.68
Milk shakes and other dairy drinks,39013.32
Salad dressings and vegetable oils,38481.26
"Tortilla, corn, other chips",38057.26
Pork,37248.44
Fried rice and lo/chow mein,36793.7
"Flavored milk, lowfat",36213.8
Frankfurter sandwiches,35785.5
Meat and BBQ sandwiches,34487.05
"Flavored milk, reduced fat",34453.71
Candy containing chocolate,34277.17
Broccoli,32606.06
"Soups, cream-based",32282.79
"Crackers, excludes saltines",31774.29
Other fruits and fruit salads,30425.03
Cold cuts and cured meats,30183.85
Peanut butter and jelly sandwiches,29897.72
Bagels and English muffins,29877.63
Carrots,29480.39
"Pasta, noodles, cooked grains",28579.06
String beans,28229.06
Vegetables on a sandwich,28038.16
Potato chips,27894.63
"Flavored milk, whole",27240.4
Seafood mixed dishes,25929.31
Corn,24617.12
Grits and other cooked cereals,23970.34
"Gelatins, ices, sorbets",23832.89
"Jams, syrups, toppings",23822.86
Sausages,23569.63
Peaches and nectarines,23091.13
"Bean, pea, legume dishes",23089.64
Candy not containing chocolate,22374.49
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",21371.12
"Coleslaw, non-lettuce salads",20930.72
Vegetable dishes,20570.78
Seafood sandwiches,20393.0
Shellfish,19614.07
Other starchy vegetables,19490.72
"Cream cheese, sour cream, whipped cream",19447.69
Other red and orange vegetables,19316.76
Pears,18783.75
Popcorn,18745.95
Mustard and other condiments,18615.09
Vegetable juice,17749.91
Turnovers and other grain-based items,17666.37
Pineapple,17542.68
Tortillas,17184.2
"Egg rolls, dumplings, sushi",17016.87
Sugars and honey,17012.64
"Olives, pickles, pickled vegetables",16406.13
Mayonnaise,15959.2
Cottage/ricotta cheese,15710.42
Pretzels/snack mix,15697.94
"Flavored milk, nonfat",15421.63
Pudding,14771.039999999999
Cereal bars,14104.91
Mango and papaya,13680.59
Cheese sandwiches,13493.06
Rolls and buns,13141.6
Spinach,12152.61
Onions,12085.92
Cabbage,12051.74
Butter and animal fats,11246.68
Not included in a food category,10788.31
Vegetable sandwiches/burgers,10772.7
Dried fruits,10768.28
Ground beef,10561.34
"Turkey, duck, other poultry",9719.4
Soy and meat-alternative products,9688.61
Nutrition bars,9348.1
Bacon,8018.8
Other dark green vegetables,7567.85
Protein and nutritional powders,6458.56
"Formula, ready-to-feed",6130.03
Fried vegetables,5983.57
"Pasta sauces, tomato-based",4832.72
Baby food: mixtures,4785.71
Frankfurters,4335.94
Saltine crackers,4018.72
Nachos,3618.08
Baby food: fruit,2967.7400000000002
Plant-based yogurt,2949.25
Margarine,2791.52
Soy-based condiments,2280.33
Baby food: cereals,2061.38
Baby water,2020.0
"Lamb, goat, game",1976.77
Baby food: vegetables,1852.35
Sugar substitutes,1513.91
Liver and organ meats,1046.08
Baby food: meat and dinners,1043.76
Baby food: yogurt,983.97
Baby juice,883.5
Baby food: snacks and sweets,631.47
Human milk,0.0
