category,count
Tap water,3689
Coffee,3040
Bottled water,2795
Cheese,1563
Cookies and brownies,1486
Eggs and omelets,1424
Yeast breads,1406
Soft drinks,1360
Other vegetables and combinations,1358
Tea,1321
Cream and cream substitutes,1309
Tomato-based condiments,1224
Nuts and seeds,1207
"Chicken, whole pieces",1104
Mustard and other condiments,1095
Salad dressings and vegetable oils,1094
Lettuce and lettuce salads,1080
Sugars and honey,1069
"Crackers, excludes saltines",1047
Bananas,1044
French fries and other fried white potatoes,1019
Apples,978
Candy containing chocolate,972
"Tortilla, corn, other chips",971
Butter and animal fats,936
Deli and cured meat sandwiches,886
Candy not containing chocolate,883
Ice cream and frozen dairy desserts,879
Mayonnaise,876
Fruit drinks,853
Potato chips,852
"Milk, whole",852
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",841
Rice,838
Vegetables on a sandwich,829
"Milk, reduced fat",818
Tomatoes,740
"Pasta mixed dishes, excludes macaroni and cheese",739
Pizza,732
"Jams, syrups, toppings",727
Cakes and pies,679
Diet soft drinks,672
"Dips, gravies, other sauces",668
"Doughnuts, sweet rolls, pastries",653
Citrus fruits,604
Blueberries and other berries,568
Burgers,559
"Cream cheese, sour cream, whipped cream",549
Strawberries,541
Citrus juice,537
"Soups, broth-based",520
"Beans, peas, legumes",503
Meat mixed dishes,500
Carrots,499
"Chicken patties, nuggets and tenders",485
"Pancakes, waffles, French toast",481
"Olives, pickles, pickled vegetables",477
Popcorn,477
Burritos and tacos,472
Fish,469
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",467
Beer,460
"Biscuits, muffins, quick breads",460
Egg/breakfast sandwiches,458
Grapes,458
Not included in a food category,447
Oatmeal,432
Sugar substitutes,425
Flavored or carbonated water,424
Mashed potatoes and white potato mixtures,416
Poultry mixed dishes,409
"Beef, excludes ground",406
Cold cuts and cured meats,401
Plant-based milk,396
Onions,394
"Yogurt, regular",385
Bacon,367
Wine,366
Cereal bars,351
Bagels and English muffins,350
Sausages,347
Pretzels/snack mix,343
"White potatoes, baked or boiled",337
Pork,334
Apple juice,330
"Milk, lowfat",329
Macaroni and cheese,312
Other fruit juice,312
Broccoli,312
Melons,311
"Yogurt, Greek",301
Rice mixed dishes,298
Peanut butter and jelly sandwiches,296
Other Mexican mixed dishes,295
Other fruits and fruit salads,290
String beans,288
Liquor and cocktails,283
Sport and energy drinks,282
Corn,267
Smoothies and grain drinks,267
Dried fruits,263
Chicken fillet sandwiches,261
Rolls and buns,243
Margarine,242
Frankfurter sandwiches,240
"Gelatins, ices, sorbets",234
Tortillas,229
"Milk, nonfat",220
Ramen and Asian broth-based soups,200
Nutrition bars,197
Spinach,189
Shellfish,181
Stir-fry and soy-based sauce mixtures,179
Saltine crackers,179
Other red and orange vegetables,171
Pineapple,171
"Pasta, noodles, cooked grains",168
Nutritional beverages,167
Peaches and nectarines,167
"Coleslaw, non-lettuce salads",162
Diet sport and energy drinks,159
Other starchy vegetables,154
Meat and BBQ sandwiches,154
Fried rice and lo/chow mein,149
Cabbage,145
Soy-based condiments,144
Turnovers and other grain-based items,134
Other diet drinks,134
Cheese sandwiches,129
Cottage/ricotta cheese,128
Protein and nutritional powders,125
"Flavored milk, lowfat",123
Seafood mixed dishes,121
"Egg rolls, dumplings, sushi",120
Seafood sandwiches,117
Pears,115
Enhanced water,111
"Flavored milk, reduced fat",111
"Bean, pea, legume dishes",110
Mango and papaya,107
Grits and other cooked cereals,106
Other dark green vegetables,106
Ground beef,104
Milk shakes and other dairy drinks,104
Vegetable dishes,101
Pudding,97
"Turkey, duck, other poultry",95
"Soups, cream-based",93
Soy and meat-alternative products,91
"Flavored milk, whole",89
"Formula, prepared from powder",83
Fried vegetables,80
Vegetable sandwiches/burgers,72
"Pasta sauces, tomato-based",69
Vegetable juice,66
Human milk,60
"Flavored milk, nonfat",54
Frankfurters,50
Baby food: snacks and sweets,49
Nachos,49
Baby food: cereals,40
Baby food: mixtures,27
Baby food: fruit,26
"Lamb, goat, game",23
"Formula, ready-to-feed",17
Baby food: vegetables,16
Liver and organ meats,16
Plant-based yogurt,13
Baby water,12
Baby food: yogurt,11
Baby juice,7
Baby food: meat and dinners,5
