food_code,category
11720617,"Formula, prepared from powder"
11720618,"Formula, prepared from powder"
11720619,"Formula, prepared from powder"
11720809,"Formula, prepared from powder"
11740311,"Formula, ready-to-feed"
11740313,"Formula, prepared from powder"
11740401,"Formula, ready-to-feed"
11740403,"Formula, prepared from powder"
11740405,"Formula, prepared from powder"
11740560,"Formula, prepared from powder"
11810000,Not included in a food category
11825000,Not included in a food category
11830150,Not included in a food category
11830160,Not included in a food category
11830165,Not included in a food category
11830260,Not included in a food category
11830400,Not included in a food category
12100100,Cream and cream substitutes
12110100,Cream and cream substitutes
12120100,Cream and cream substitutes
12120106,Cream and cream substitutes
12120110,Cream and cream substitutes
12130100,Cream and cream substitutes
12140000,"Cream cheese, sour cream, whipped cream"
12200100,Cream and cream substitutes
12210200,Cream and cream substitutes
12210210,Cream and cream substitutes
12210260,Cream and cream substitutes
12210270,Cream and cream substitutes
12210280,Cream and cream substitutes
12210310,Cream and cream substitutes
12210400,Cream and cream substitutes
12210420,Cream and cream substitutes
12210430,Cream and cream substitutes
12210505,Cream and cream substitutes
12210520,Cream and cream substitutes
12220200,"Cream cheese, sour cream, whipped cream"
12220270,"Cream cheese, sour cream, whipped cream"
12220280,"Cream cheese, sour cream, whipped cream"
12310100,"Cream cheese, sour cream, whipped cream"
12310350,"Cream cheese, sour cream, whipped cream"
12310370,"Cream cheese, sour cream, whipped cream"
12320100,"Cream cheese, sour cream, whipped cream"
12350010,"Dips, gravies, other sauces"
12350200,"Dips, gravies, other sauces"
12350205,"Dips, gravies, other sauces"
12350220,"Dips, gravies, other sauces"
12350225,"Dips, gravies, other sauces"
12350230,"Dips, gravies, other sauces"
12350235,"Dips, gravies, other sauces"
12350240,"Dips, gravies, other sauces"
12350245,"Dips, gravies, other sauces"
12350250,"Dips, gravies, other sauces"
12350255,"Dips, gravies, other sauces"
13110000,Ice cream and frozen dairy desserts
13110100,Ice cream and frozen dairy desserts
13110102,Ice cream and frozen dairy desserts
13110110,Ice cream and frozen dairy desserts
13110112,Ice cream and frozen dairy desserts
13110200,Ice cream and frozen dairy desserts
13110210,Ice cream and frozen dairy desserts
13110460,Ice cream and frozen dairy desserts
13110470,Ice cream and frozen dairy desserts
13120050,Ice cream and frozen dairy desserts
13120100,Ice cream and frozen dairy desserts
13120110,Ice cream and frozen dairy desserts
13120140,Ice cream and frozen dairy desserts
13120500,Ice cream and frozen dairy desserts
13120510,Ice cream and frozen dairy desserts
13120550,Ice cream and frozen dairy desserts
13120730,Ice cream and frozen dairy desserts
13120735,Ice cream and frozen dairy desserts
13120740,Ice cream and frozen dairy desserts
13120770,Ice cream and frozen dairy desserts
13120775,Ice cream and frozen dairy desserts
13120782,Ice cream and frozen dairy desserts
13120784,Ice cream and frozen dairy desserts
13120786,Ice cream and frozen dairy desserts
13120788,Ice cream and frozen dairy desserts
13120790,Ice cream and frozen dairy desserts
13120792,Ice cream and frozen dairy desserts
13120800,Milk shakes and other dairy drinks
13120810,Milk shakes and other dairy drinks
13121000,Ice cream and frozen dairy desserts
13121100,Ice cream and frozen dairy desserts
13121120,Ice cream and frozen dairy desserts
13121300,Ice cream and frozen dairy desserts
13121400,Ice cream and frozen dairy desserts
13126000,Ice cream and frozen dairy desserts
13130100,Ice cream and frozen dairy desserts
13130300,Ice cream and frozen dairy desserts
13130310,Ice cream and frozen dairy desserts
13130700,Ice cream and frozen dairy desserts
13135000,Ice cream and frozen dairy desserts
13135010,Ice cream and frozen dairy desserts
13140000,Ice cream and frozen dairy desserts
13140100,Ice cream and frozen dairy desserts
13140115,Ice cream and frozen dairy desserts
13140700,Ice cream and frozen dairy desserts
13140900,Ice cream and frozen dairy desserts
13142100,Ice cream and frozen dairy desserts
13142110,Ice cream and frozen dairy desserts
13150000,Ice cream and frozen dairy desserts
13161600,Ice cream and frozen dairy desserts
13200110,Pudding
13210110,Pudding
13210280,Pudding
13210300,Pudding
13210350,Pudding
13210370,Pudding
13210410,Pudding
13210450,Pudding
13210520,Pudding
13220110,Pudding
13220120,Pudding
13220210,Pudding
13220220,Pudding
13230110,Pudding
13230120,Pudding
13230130,Pudding
13230140,Pudding
13230500,Pudding
13241000,Pudding
13250000,Pudding
13252200,Pudding
13252500,Pudding
13252590,Pudding
13252600,Cakes and pies
13411000,"Dips, gravies, other sauces"
14010000,Cheese
14101010,Cheese
14102010,Cheese
14103010,Cheese
14103020,Cheese
14104100,Cheese
14104110,Cheese
14104115,Cheese
14104200,Cheese
14104250,Cheese
14104400,Cheese
14104600,Cheese
14104700,Cheese
14105010,Cheese
14105200,Cheese
14106010,Cheese
14106200,Cheese
14106500,Cheese
14107010,Cheese
14107030,Cheese
14107040,Cheese
14107060,Cheese
14107200,Cheese
14107250,Cheese
14108010,Cheese
14108015,Cheese
14108020,Cheese
14108060,Cheese
14108200,Cheese
14108400,Cheese
14108420,Cheese
14109010,Cheese
14109020,Cheese
14109030,Cheese
14109040,Cheese
14110010,Cheese
14110050,Cheese
14120010,Cheese
14120020,Cheese
14131000,Cheese
14131500,Cheese
14133000,Cheese
14134000,Cheese
14200100,Cottage/ricotta cheese
14201010,Cottage/ricotta cheese
14201200,Cottage/ricotta cheese
14201500,Cottage/ricotta cheese
14202010,Cottage/ricotta cheese
14202020,Cottage/ricotta cheese
14203010,Cottage/ricotta cheese
14203020,Cottage/ricotta cheese
14203510,Cottage/ricotta cheese
14204010,Cottage/ricotta cheese
14204020,Cottage/ricotta cheese
14206010,Cottage/ricotta cheese
14207010,Cottage/ricotta cheese
14301010,"Cream cheese, sour cream, whipped cream"
14301100,"Cream cheese, sour cream, whipped cream"
14303010,"Cream cheese, sour cream, whipped cream"
14410100,Cheese
14410110,Cheese
14410120,Cheese
14410130,Cheese
14410210,Cheese
14410330,Cheese
14410380,"Cream cheese, sour cream, whipped cream"
14410500,Cheese
14410600,Cheese
14410620,Cheese
14420100,Cheese
14420160,Cheese
14420200,"Cream cheese, sour cream, whipped cream"
14420300,Cheese
14502000,Cheese
14610200,Cottage/ricotta cheese
14610210,Cottage/ricotta cheese
14610250,Cottage/ricotta cheese
14610520,Cheese
14620110,"Dips, gravies, other sauces"
14620115,"Dips, gravies, other sauces"
14620130,"Dips, gravies, other sauces"
14620150,"Dips, gravies, other sauces"
14620200,"Dips, gravies, other sauces"
14620300,Pizza
14620310,Pizza
14620320,Pizza
14620330,Pizza
14630100,"Dips, gravies, other sauces"
14630200,Eggs and omelets
14630300,"Dips, gravies, other sauces"
14640000,Cheese sandwiches
14640002,Cheese sandwiches
14640004,Cheese sandwiches
14640008,Cheese sandwiches
14640010,Cheese sandwiches
